Sample_ID;Date;Treatment;Plant;Repetition_measurment;CH5O+;C3H5O+;C5H7+;C5H9+;C5H11+;C6H9+;C6H11+;C6H13+;C7H9+;C7H11+;C6H11O+;C6H13O+;C6H15O+;C7H7O+;C8H13+;C8H8N+;C10H15+;C10H17+;C8H15O2+;C8H17O2+;C11H17+;C9H11O2+;C11H19+;C8H10NO2+;C10H12O2+;C12H21O2+;C15H25+;C16H27+
Background 2;6/25/2020;background;#N/A;2;4.0564051;276.4684;116.5831;346.0954;55.6037;242.3918;212.241;27.2295;271.7374;117.119;70.4102;20.1772;1.7404;43.778236;289.1444;28.7804;35.5345;43.7577;48.6511;13.0149;12.9368;21.1176;9.3162;4.4226;15.8123;4.5419655;4.1367;2.169529
Background 3;6/25/2020;background;#N/A;3;2.3811955;204.4071;90.3018;408.9942;27.6545;180.3277;212.2788;6.9603;161.9908;65.254;44.4823;17.1741;0.0229;24.805029;143.6328;14.9135;21.1074;51.1165;25.3582;6.1059;4.9188;3.7088;5.0797;5.6261;4.4222;1.4877396;3.8163;0.59435999
Background 3;6/25/2020;background;#N/A;3;4.1588025;183.5316;93.3321;394.9569;29.2394;190.8433;195.1753;12.7459;187.6219;79.5632;28.5195;16.5226;0.4643;39.939148;128.7333;6.6611;19.1126;58.6761;18.7005;4.8581;5.7098;6.9416;5.4936;2.7069;5.7465;0.75047684;4.304;3.4915173
Background 3;6/25/2020;background;#N/A;3;5.5767598;199.1457;91.3049;373.5234;37.3731;197.2962;235.2928;16.1822;193.6995;66.9985;34.903;20.828;2.0038;37.86097;117.7433;3.891;10.6054;47.4134;34.2878;5.2365;2.4434;11.3032;6.6348;4.7749;4.7725;1.1475689;6.9869;0.84725171
Background 3;6/25/2020;background;#N/A;3;4.0493264;194.6897;102.7379;382.1322;39.8779;182.2169;234.0746;9.8003;195.1406;68.4041;44.755;11.5204;0.7476;35.110924;153.7749;6.4416;17.0592;52.5289;19.7611;10.7972;5.183;8.4774;3.5946;3.0578;8.4257;0.50401682;6.3834;0.39008605
Background 3;6/25/2020;background;#N/A;3;1.7724998;196.3815;114.8314;341.6702;33.7963;188.3238;193.1568;12.9289;186.0435;73.1539;35.0429;12.3489;1.4356;38.749184;160.8344;6.9341;15.2573;59.6579;30.1367;4.5283;2.8692;6.9556;3.8592;7.2802;5.4353;0.46221405;0.5765;1.2379072
Background 3;6/25/2020;background;#N/A;3;2.8365109;208.6997;93.2336;415.9994;32.6563;201.5307;198.4369;8.54;192.818;70.2813;35.0246;13.3958;0.9476;39.327015;167.6117;8.0013;22.0451;54.3833;29.583;9.7123;3.4091;6.2045;4.4591;2.5117;5.7968;1.0541304;2.8008;0.28492761
Background 3;6/25/2020;background;#N/A;3;2.2256019;184.8004;103.1414;376.0384;36.1065;195.3952;198.9508;14.6672;187.6374;82.605;35.3646;17.3729;0.2925;26.070644;138.9493;10.6052;15.5571;54.3694;23.3503;4.958;4.0916;10.9122;4.222;7.8585;2.2285;2.440609;2.1475;1.4667233
Background 3;6/25/2020;background;#N/A;3;6.301187;228.7727;99.8759;359.1025;36.2692;181.7228;196.7035;11.8392;190.9292;69.7309;35.5485;16.7724;0.2258;47.5368;134.2501;9.7783;14.2971;45.7239;29.5963;8.0076;3.8477;10.3833;4.488;2.8556;4.5993;1.5126504;3.7484;0.15552287
Background 3;6/25/2020;background;#N/A;3;6.5916419;197.7613;85.4797;345.5118;36.6267;167.8713;185.19;9.2219;201.2638;73.7703;36.5187;13.6353;0.8673;44.875854;150.5797;10.6115;20.0238;47.0164;20.0447;14.4265;5.5159;5.0344;3.0489;5.6743;6.2845;0;2.1596;1.1319029
